country,countryname,StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,home,gathering,distance,hands,help_covid,donate_covid,volunteer_covid,help,donate,volunteer,admiration,calm,compassion,determination,moved,gratitude,hope,love,relief,pleasure,anger,anxiety,boredom,confusion,disgust,fear,frustration,loneliness,regret,sadness,ERQ1_rumination,ERQ2_reappraisal,ERQ3_suppression,ERQ4_socialsharing,ERQ5_distraction,ERQ6_acceptance,support,connected,phy_healthy,mentally_healthy,stressed,tired,depressed,res_1,res_2,euda_1,euda_2,swl,sympathy,concerned,overwhelmed,distressed,self_vulnerable,country_vulnerable,age,education,gender,ladder,employment,losejob,covidsymptom,language,datasource,ISO3,longstring,na_count
10,Australia,18/04/2020 23:11,18/04/2020 23:18,0,100,449,1,18/04/2020 23:18,100,99,100,100,0,0,0,1,0,0,2,5,5,6,6,5,6,6,0,6,1,1,1,0,0,0,0,0,0,1,0,1,0,4,5,6,6,6,100,100,11,16,0,6,6,6,6,9,4,4,0,1,6,1,30,24,1,8,1,NA,0,ZH-S,snowball,AUS,6,0
10,Australia,06/05/2020 03:50,06/05/2020 04:01,0,100,669,1,06/05/2020 04:01,100,0,50,66,1,0,0,0,0,1,6,5,5,5,6,4,6,6,6,5,4,6,5,6,6,6,3,6,4,6,4,5,6,5,5,1,6,6,100,100,100,100,64,5,5,6,5,5,5,5,3,3,1,1,31,25,NA,8,5,1,NA,ZH-S,snowball,AUS,3,0
10,Australia,04/05/2020 19:40,04/05/2020 19:45,0,100,329,1,04/05/2020 19:45,51,100,100,100,0,0,0,1,0,0,0,2,4,3,5,3,5,3,3,1,3,5,3,4,4,4,5,4,4,5,4,4,4,3,4,3,3,3,28,28,77,76,66,4,4,3,4,4,4,5,3,4,5,5,NA,NA,NA,4,1,NA,1,ZH-S,snowball,AUS,3,0
10,Australia,04/05/2020 20:23,04/05/2020 20:27,0,100,270,1,04/05/2020 20:27,54,55,73,89,0,0,0,1,0,0,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,2,3,3,2,3,3,3,3,3,2,3,3,2,90,78,61,53,20,3,3,2,3,5,2,2,2,2,3,2,NA,17,1,6,4,NA,0,ZH-S,snowball,AUS,5,0
10,Australia,06/05/2020 05:50,06/05/2020 05:56,0,100,388,1,06/05/2020 05:56,100,100,100,100,0,0,0,0,0,0,6,3,6,6,6,3,3,5,0,3,3,6,6,3,3,6,6,6,0,6,3,3,3,3,0,3,0,3,63,63,100,100,100,4,4,3,0,0,6,6,3,6,5,9,26,18,2,5,5,1,NA,ZH-S,snowball,AUS,3,0
10,Australia,06/05/2020 05:45,06/05/2020 05:52,0,100,430,1,06/05/2020 05:52,100,100,100,100,0,0,0,0,0,0,3,3,3,0,3,3,3,6,0,0,3,3,3,3,0,3,3,3,0,3,6,3,6,3,6,6,6,6,100,0,0,0,0,6,6,6,6,0,3,3,3,3,0,0,43,16,2,8,2,NA,0,ZH-S,snowball,AUS,4,0
10,Australia,18/04/2020 07:49,18/04/2020 08:01,0,100,742,1,18/04/2020 08:01,15,0,11,0,0,1,1,1,1,1,0,3,2,3,3,1,4,1,3,4,5,2,3,4,0,3,0,5,1,3,2,3,4,2,3,5,2,4,13,17,10,33,61,5,5,5,4,7,6,4,4,5,1,7,60,16,1,7,1,NA,0,AR,snowball,AUS,2,0
10,Australia,07/05/2020 14:03,07/05/2020 14:29,0,100,1555,1,07/05/2020 14:29,84,96,84,85,0,1,1,1,1,0,3,3,3,3,4,3,3,3,2,3,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2,0,2,1,48,74,24,66,25,3,4,3,5,6,3,3,3,3,4,4,58,15,2,3,2,NA,1,ZH-S,snowball,AUS,4,0
10,Australia,07/05/2020 01:19,07/05/2020 01:28,0,100,545,1,07/05/2020 01:28,75,79,75,100,1,0,0,1,0,0,5,4,6,5,4,5,3,4,2,3,4,3,6,4,3,4,4,5,1,4,3,3,5,4,5,5,6,6,73,74,80,81,58,6,5,5,3,7,6,6,4,4,6,3,35,15,1,6,2,NA,0,ZH-S,snowball,AUS,2,0
10,Australia,06/05/2020 03:23,06/05/2020 03:39,0,100,916,1,06/05/2020 03:39,1,1,1,1,0,0,0,0,0,0,1,1,6,6,6,6,6,6,1,6,1,1,0,0,0,1,0,0,0,0,6,5,1,1,1,1,0,6,1,1,65,1,0,6,6,5,6,9,6,6,2,5,1,1,55,NA,NA,6,5,NA,0,ZH-S,snowball,AUS,6,0
10,Australia,07/05/2020 01:49,07/05/2020 02:00,0,100,639,1,07/05/2020 02:00,90,100,100,100,0,0,0,1,0,0,3,3,5,5,5,4,3,5,3,2,4,2,5,1,1,2,5,5,1,1,5,5,5,5,4,5,4,5,92,85,11,60,18,5,4,3,4,9,5,5,5,5,10,3,38,21,2,7,1,NA,0,AFRI,snowball,AUS,3,0
10,Australia,05/05/2020 21:02,05/05/2020 21:15,0,100,756,1,05/05/2020 21:15,100,100,100,100,0,1,0,0,0,0,0,5,0,3,3,3,6,6,0,0,0,3,2,0,2,0,2,0,0,0,6,6,6,0,6,6,3,6,20,100,100,100,10,6,6,6,6,8,6,6,3,6,0,7,39,18,1,7,1,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,09/05/2020 08:55,09/05/2020 09:04,0,100,572,1,09/05/2020 09:04,1,1,1,1,1,0,0,1,0,0,2,5,6,5,3,4,5,4,2,4,1,1,3,2,2,2,2,1,2,2,2,1,4,3,2,2,3,3,100,100,6,11,12,5,5,5,5,8,6,6,2,3,9,9,55,12,2,7,1,NA,0,ZH-S,snowball,AUS,4,0
10,Australia,04/05/2020 05:07,04/05/2020 05:21,0,100,854,1,04/05/2020 05:21,100,100,100,100,0,1,0,0,1,0,NA,1,NA,1,1,1,NA,NA,1,1,0,5,3,2,0,1,0,1,0,1,0,1,0,0,1,1,1,3,100,82,39,20,58,2,1,3,5,9,1,3,1,1,1,1,NA,NA,2,5,3,NA,0,ZH-S,snowball,AUS,3,4
10,Australia,04/05/2020 16:15,04/05/2020 16:21,0,100,357,1,04/05/2020 16:22,87,100,98,13,0,0,0,1,0,0,2,2,4,3,3,4,2,6,0,4,0,2,4,3,0,1,0,3,1,4,1,2,0,3,3,3,3,4,76,49,48,68,45,3,2,2,5,7,4,5,1,1,7,5,28,16,2,6,2,NA,0,EN,snowball,AUS,2,0
10,Australia,04/05/2020 05:17,04/05/2020 05:24,0,100,402,1,04/05/2020 05:24,88,100,79,94,0,0,1,1,0,0,5,4,4,5,5,5,6,6,1,6,4,4,0,3,2,2,4,1,5,3,5,3,1,1,4,4,4,5,56,73,88,77,52,5,5,4,4,7,4,5,2,3,2,1,39,18,2,6,1,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,11/05/2020 00:37,11/05/2020 00:40,0,100,200,1,11/05/2020 00:40,99,99,98,100,0,1,1,1,1,0,3,3,4,3,6,6,3,5,2,4,4,6,6,6,2,4,4,5,2,3,6,3,1,5,3,3,6,1,61,41,90,93,52,3,4,2,3,6,5,6,5,5,2,2,29,20,2,5,1,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,20/04/2020 15:31,20/04/2020 15:37,0,100,338,1,20/04/2020 15:37,87,100,94,79,0,1,0,1,1,0,3,3,6,4,3,4,3,4,5,2,5,6,3,4,3,5,5,6,5,5,6,5,5,5,5,5,4,4,42,56,100,38,84,5,4,2,2,5,5,5,5,6,4,5,30,16,2,7,1,NA,0,EN,snowball,AUS,2,0
10,Australia,06/05/2020 04:44,06/05/2020 04:49,0,100,267,1,06/05/2020 04:49,53,100,73,100,1,0,0,1,0,0,5,5,3,2,5,4,4,1,3,3,0,3,5,3,0,0,1,1,3,2,2,4,5,4,5,3,3,3,100,49,52,89,72,4,3,1,1,5,6,6,5,4,3,3,16,11,2,7,4,NA,0,EN,snowball,AUS,2,0
10,Australia,06/05/2020 17:24,06/05/2020 17:34,0,100,598,1,06/05/2020 17:34,4,2,2,2,1,0,0,1,1,1,0,5,1,2,3,1,4,1,0,0,1,6,1,1,1,1,1,1,0,6,1,4,3,1,4,5,0,1,2,2,NA,NA,2,5,5,5,4,6,5,5,4,3,5,1,NA,15,2,5,2,NA,0,ZH-S,snowball,AUS,6,0
10,Australia,04/05/2020 04:59,04/05/2020 05:02,0,93,171,0,11/05/2020 05:02,100,100,100,100,0,0,0,0,0,0,4,1,3,NA,3,3,3,2,4,2,1,1,3,2,3,3,2,3,3,3,3,3,2,2,1,3,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,10,1,NA,0,ZH-S,snowball,AUS,3,1
10,Australia,19/04/2020 20:57,19/04/2020 21:06,0,100,577,1,19/04/2020 21:06,84,100,100,100,0,1,0,0,0,0,6,6,6,NA,6,6,6,6,0,6,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,4,6,100,100,0,0,0,6,6,6,6,10,6,6,3,6,0,7,53,22,1,10,1,NA,0,ZH-S,snowball,AUS,4,6
10,Australia,11/05/2020 04:02,11/05/2020 04:08,0,100,332,1,11/05/2020 04:08,41,82,81,83,0,1,0,0,0,0,2,5,4,3,4,5,5,5,0,2,1,2,4,4,0,2,2,4,0,0,4,3,1,4,4,2,4,4,90,66,83,80,54,4,3,4,5,6,5,4,3,3,6,3,31,18,2,8,1,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,04/05/2020 07:25,04/05/2020 07:41,0,100,914,1,04/05/2020 07:41,100,100,100,97,0,1,0,1,0,0,2,5,5,5,2,5,5,5,2,0,0,2,2,1,1,0,0,1,0,2,2,2,1,2,5,2,4,4,100,100,62,74,61,5,5,5,4,6,4,4,1,2,2,2,66,13,1,7,3,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,18/04/2020 16:29,18/04/2020 16:35,0,100,350,1,18/04/2020 16:35,96,100,100,100,0,0,0,0,0,0,5,3,6,4,4,6,6,6,1,4,3,4,4,3,0,4,5,0,3,5,6,4,5,4,4,6,6,6,88,82,92,89,91,6,4,5,6,7,5,5,3,4,8,10,38,20,1,3,"2,4",NA,1,ID,snowball,AUS,3,0
10,Australia,25/04/2020 07:33,25/04/2020 07:41,0,90,516,0,02/05/2020 07:42,95,100,100,100,1,1,0,0,0,0,5,4,5,4,5,5,3,5,1,4,1,4,3,1,5,4,2,1,3,3,3,4,4,3,4,4,5,5,82,82,59,59,31,4,5,4,5,9,6,6,3,5,7,4,70,16,2,7,3,NA,0,EN,snowball,AUS,2,0
10,Australia,19/04/2020 00:06,19/04/2020 00:35,0,100,1748,1,19/04/2020 00:35,80,100,90,100,0,1,0,1,1,0,6,5,5,5,4,6,6,4,5,6,0,3,4,5,0,2,4,5,3,2,3,5,4,1,5,6,5,4,100,92,90,41,77,3,4,5,4,10,5,5,0,0,0,2,32,18,1,5,4,NA,0,ID,snowball,AUS,3,0
10,Australia,07/05/2020 05:07,07/05/2020 05:18,0,100,673,1,07/05/2020 05:18,100,100,100,100,0,0,0,0,0,0,3,6,4,3,3,3,6,6,3,2,0,3,2,0,0,0,0,1,0,0,0,1,2,0,1,1,6,3,100,100,56,2,2,4,6,6,3,5,6,6,0,3,0,3,57,13,2,4,2,NA,0,ZH-S,snowball,AUS,4,0
10,Australia,09/05/2020 07:39,09/05/2020 07:49,0,100,608,1,09/05/2020 07:49,80,100,78,100,0,0,0,1,0,0,5,5,5,4,5,5,4,5,5,4,3,3,4,2,5,2,3,5,3,4,3,3,3,4,5,3,5,5,68,81,29,55,17,5,5,4,4,8,5,5,2,4,4,3,NA,NA,NA,8,2,NA,NA,EN,snowball,AUS,3,0
10,Australia,01/05/2020 07:05,01/05/2020 07:22,0,100,1026,1,01/05/2020 07:23,71,70,100,70,0,0,0,1,1,0,6,6,6,6,6,6,6,6,6,6,2,1,0,4,4,1,2,1,2,2,1,5,0,6,0,1,3,3,100,100,2,1,0,6,6,6,5,6,6,6,0,1,5,3,39,16,NA,6,2,NA,0,EN,snowball,AUS,10,0
10,Australia,06/05/2020 07:54,06/05/2020 08:00,0,100,369,1,06/05/2020 08:00,100,100,100,34,0,0,1,1,0,1,4,3,5,4,3,4,5,6,2,2,3,2,1,1,0,0,1,1,0,1,3,4,3,6,6,3,4,3,100,74,31,54,1,6,4,5,2,7,6,6,6,4,0,7,23,16,2,7,2,NA,0,EN,snowball,AUS,2,0
10,Australia,04/05/2020 04:32,04/05/2020 04:58,0,100,1539,1,04/05/2020 04:58,100,100,100,100,0,0,0,0,0,0,4,5,4,3,2,3,5,5,0,3,0,5,4,4,0,3,4,0,2,2,1,0,3,3,3,3,2,5,100,100,77,48,51,3,5,5,3,10,6,6,5,4,5,5,54,16,2,6,5,0,0,ZH-S,snowball,AUS,2,0
10,Australia,06/05/2020 03:00,06/05/2020 03:08,0,100,452,1,06/05/2020 03:08,97,100,99,100,0,0,0,0,0,0,0,4,3,2,3,3,4,6,2,4,0,1,0,1,0,0,0,0,0,1,0,2,0,1,2,3,4,4,100,100,0,66,8,3,1,5,4,7,3,2,1,1,7,6,38,16,2,7,2,NA,0,EN,snowball,AUS,5,0
10,Australia,23/04/2020 23:18,23/04/2020 23:27,0,100,568,1,23/04/2020 23:28,90,100,100,90,0,0,0,0,0,0,3,4,4,3,3,5,5,5,4,5,2,5,6,4,2,5,2,5,2,4,3,4,2,4,2,4,5,2,98,88,31,11,11,5,2,5,5,8,4,3,2,4,1,0,30,17,2,7,"1,4",NA,0,EN,snowball,AUS,3,0
10,Australia,21/04/2020 19:39,21/04/2020 19:52,0,100,763,1,21/04/2020 19:52,97,100,100,100,1,0,0,1,1,0,3,2,6,4,2,4,3,6,4,1,3,6,6,0,5,3,6,4,5,3,4,3,6,4,3,2,5,5,81,40,93,100,84,3,4,2,4,4,5,5,0,4,8,4,60,25,2,10,1,NA,1,EN,snowball,AUS,2,0
10,Australia,04/05/2020 07:20,04/05/2020 07:24,0,100,215,1,04/05/2020 07:24,81,80,80,100,0,0,0,0,0,0,2,2,2,2,3,2,4,3,3,2,1,4,5,3,4,1,3,4,2,2,4,4,5,1,5,1,1,6,91,71,61,50,61,4,4,4,3,6,1,1,0,1,1,3,25,24,1,4,4,NA,0,ZH-S,snowball,AUS,4,0
10,Australia,03/05/2020 07:53,03/05/2020 07:59,0,100,411,1,03/05/2020 07:59,44,100,91,100,0,1,0,1,0,0,3,2,2,5,0,5,4,3,2,3,6,3,3,3,5,4,4,1,0,4,4,4,2,5,2,5,6,4,83,71,62,87,21,6,5,5,6,8,6,6,5,6,8,7,23,15,2,5,1,NA,0,EN,snowball,AUS,3,0
10,Australia,04/05/2020 03:41,04/05/2020 03:49,0,100,516,1,04/05/2020 03:49,100,100,100,100,0,0,0,1,0,0,1,6,3,4,1,6,5,1,1,4,2,1,3,6,0,0,1,6,0,0,1,1,6,3,6,6,6,6,74,56,32,91,2,6,2,3,1,10,0,2,0,0,0,0,28,22,1,4,4,NA,0,ZH-S,snowball,AUS,2,0
10,Australia,07/05/2020 01:07,07/05/2020 01:11,0,100,240,1,07/05/2020 01:11,87,99,100,85,0,0,0,0,0,0,2,3,3,3,2,4,3,4,4,2,2,4,2,2,4,4,5,3,3,3,3,4,4,4,3,4,2,4,94,93,100,100,97,4,4,4,4,6,3,4,4,2,4,3,38,14,2,7,1,NA,1,ZH-S,snowball,AUS,3,0
10,Australia,04/05/2020 03:01,04/05/2020 03:12,0,100,669,1,04/05/2020 03:13,100,100,100,100,1,1,0,1,1,1,5,4,5,3,5,5,4,5,2,4,3,0,3,0,1,1,1,1,0,3,3,3,3,2,4,3,3,4,99,98,61,17,20,3,4,3,4,6,5,3,1,1,3,2,54,16,2,6,1,NA,0,ZH-S,snowball,AUS,4,0
10,Australia,06/05/2020 05:46,06/05/2020 05:49,0,93,179,0,13/05/2020 05:50,34,43,51,63,0,0,0,1,0,0,3,3,3,3,3,3,4,3,0,3,0,3,0,1,0,1,3,3,1,0,0,0,0,0,0,0,3,3,85,87,58,89,41,3,2,4,3,3,3,3,2,3,5,3,NA,14,1,5,4,NA,0,ZH-S,snowball,AUS,6,0
10,Australia,04/05/2020 01:06,04/05/2020 01:21,0,100,905,1,04/05/2020 01:21,10,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,4,0,0,0,1,4,0,0,0,0,4,0,0,2,2,2,2,2,2,5,5,0,0,1,7,9,2,2,2,0,4,4,4,0,0,4,4,66,16,2,3,3,NA,0,ZH-S,snowball,AUS,6,0
10,Australia,06/05/2020 00:30,06/05/2020 03:34,0,100,11067,1,06/05/2020 03:35,67,93,81,50,1,1,0,1,0,0,3,4,2,4,3,4,3,2,3,3,3,3,4,4,2,3,4,2,4,1,3,4,5,5,4,5,6,5,83,72,81,55,5,3,4,4,4,7,3,3,4,4,7,5,16,NA,2,8,4,NA,0,EN,snowball,AUS,4,0
10,Australia,06/05/2020 05:40,06/05/2020 05:50,0,100,622,1,06/05/2020 05:50,99,100,100,100,0,0,0,0,0,0,3,4,4,3,1,3,4,6,3,2,1,3,4,1,0,3,2,0,0,4,2,3,3,3,5,5,3,3,93,96,10,12,12,5,5,5,5,8,6,6,3,6,5,5,55,16,2,8,1,NA,0,EN,snowball,AUS,2,0
10,Australia,06/05/2020 02:23,06/05/2020 02:41,0,100,1083,1,06/05/2020 02:42,80,79,81,82,0,0,0,0,0,0,5,5,5,5,4,3,4,5,4,0,2,3,1,3,3,3,4,1,1,2,2,3,3,4,1,5,1,4,72,89,40,39,42,3,3,5,4,5,5,5,5,5,9,3,48,18,2,6,2,NA,0,EN,snowball,AUS,4,0
10,Australia,05/05/2020 23:38,05/05/2020 23:49,0,100,686,1,05/05/2020 23:50,90,100,90,100,1,0,0,1,0,0,3,4,3,4,2,5,3,5,2,5,1,3,4,3,0,0,2,2,0,1,1,5,0,4,2,5,5,5,100,70,30,40,0,4,4,4,4,8,6,5,1,3,3,1,32,20,2,8,1,NA,0,EN,snowball,AUS,2,0
10,Australia,07/05/2020 06:26,07/05/2020 06:36,0,100,631,1,07/05/2020 06:36,88,100,78,NA,1,1,0,1,0,0,4,5,6,6,5,2,4,4,1,3,1,3,0,0,3,2,0,0,0,4,0,0,0,0,0,6,6,3,92,100,NA,NA,NA,6,6,6,6,7,6,6,0,1,1,3,65,19,1,7,2,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,06/05/2020 05:57,06/05/2020 06:04,0,100,405,1,06/05/2020 06:04,100,100,100,100,0,0,0,0,0,0,0,5,3,6,2,0,3,5,1,5,2,4,6,1,1,0,1,3,0,1,1,0,2,3,3,5,6,3,100,69,62,11,37,3,2,2,2,3,4,3,0,4,0,1,38,22,2,5,1,NA,0,ZH-TW,snowball,AUS,2,0
10,Australia,04/05/2020 03:21,04/05/2020 03:32,0,100,662,1,04/05/2020 03:32,80,100,90,100,1,0,0,0,0,0,4,4,4,4,3,4,3,3,4,6,5,5,5,4,4,3,4,4,2,4,5,4,4,4,4,4,4,3,79,70,65,90,90,3,3,3,2,5,6,5,5,5,5,9,46,10,2,4,5,1,1,EN,snowball,AUS,4,0
10,Australia,07/05/2020 18:53,07/05/2020 20:04,0,100,4270,1,07/05/2020 20:04,91,20,90,91,0,0,1,1,1,0,6,4,3,3,5,6,6,6,0,5,0,2,3,3,0,2,1,3,0,0,0,0,5,2,0,3,3,3,69,75,89,17,17,5,5,5,5,8,6,5,0,0,5,3,59,15,1,5,1,NA,0,ZH-S,snowball,AUS,3,0
